Date,High,Low,Open,Close,Volume,Adj Close
2022-05-31,197.60000610351562,192.00999450683594,194.88999938964844,193.63999938964844,26131100,193.63999938964844
2022-06-01,199.52999877929688,185.0,196.50999450683594,188.63999938964844,36623500,188.63999938964844
2022-06-02,200.94000244140625,187.72999572753906,188.4499969482422,198.86000061035156,31951600,198.86000061035156
2022-06-03,196.61000061035156,189.77999877929688,195.97999572753906,190.77999877929688,19465000,190.77999877929688
2022-06-06,196.9199981689453,188.39999389648438,193.99000549316406,194.25,30574200,194.25
2022-06-07,196.52999877929688,191.49000549316406,191.92999267578125,195.64999389648438,18828700,195.64999389648438
2022-06-08,202.02999877929688,194.41000366210938,194.6699981689453,196.63999938964844,22267200,196.63999938964844
2022-06-09,199.4499969482422,183.67999267578125,194.27999877929688,184.0,23501600,184.0
2022-06-10,183.10000610351562,175.02000427246094,183.0399932861328,175.57000732421875,27450800,175.57000732421875
2022-06-13,172.5800018310547,164.02999877929688,170.58999633789062,164.25999450683594,31749300,164.25999450683594
2022-06-14,166.75,161.36000061035156,166.02999877929688,163.72999572753906,27244300,163.72999572753906
2022-06-15,172.16000366210938,163.97999572753906,167.1999969482422,169.35000610351562,30008300,169.35000610351562
2022-06-16,165.0800018310547,159.61000061035156,163.72000122070312,160.8699951171875,26944100,160.8699951171875
2022-06-17,165.89999389648438,159.89999389648438,161.67999267578125,163.74000549316406,31374200,163.74000549316406
2022-06-21,167.75999450683594,155.97000122070312,165.92999267578125,157.0500030517578,50724900,157.0500030517578
2022-06-22,160.7899932861328,155.44000244140625,158.3800048828125,155.85000610351562,47267800,155.85000610351562
2022-06-23,159.75,154.25,156.27000427246094,158.75,40499200,158.75
2022-06-24,170.25,161.3000030517578,161.72999572753906,170.16000366210938,68736000,170.16000366210938
2022-06-27,171.75,168.00999450683594,171.32000732421875,169.49000549316406,29174600,169.49000549316406
2022-06-28,171.3000030517578,160.61000061035156,169.89999389648438,160.67999267578125,27744500,160.67999267578125
2022-06-29,166.3300018310547,160.32000732421875,163.57000732421875,163.94000244140625,28595200,163.94000244140625
2022-06-30,165.22999572753906,158.49000549316406,162.14999389648438,161.25,35250600,161.25
2022-07-01,160.6199951171875,155.0,160.30999755859375,160.02999877929688,31423900,160.02999877929688
2022-07-05,168.25,157.02000427246094,158.13999938964844,168.19000244140625,28618600,168.19000244140625
2022-07-06,171.58999633789062,165.4600067138672,168.1999969482422,169.77000427246094,23085900,169.77000427246094
2022-07-07,172.72000122070312,167.77999877929688,169.4499969482422,172.19000244140625,24083400,172.19000244140625
2022-07-08,172.39999389648438,168.14999389648438,169.97999572753906,170.8800048828125,19249200,170.8800048828125
2022-07-11,167.49000549316406,161.91000366210938,167.07000732421875,162.8800048828125,21885600,162.8800048828125
2022-07-12,165.91000366210938,162.10000610351562,164.8000030517578,163.27000427246094,16639700,163.27000427246094
